typeID,attributeID,valueInt,valueFloat
18,182,None,3386.0
18,277,None,1.0
18,790,None,60377.0
18,1980,None,0.5
18,2115,None,0.0
18,2699,None,1.0
18,2711,None,18.0
19,182,None,3386.0
19,277,None,1.0
19,790,None,60380.0
19,1980,None,0.425
19,1981,None,600.0
19,2115,None,0.0
19,2699,None,1.0
19,2711,None,19.0
20,182,None,3386.0
20,277,None,1.0
20,790,None,60378.0
20,1980,None,0.5
20,2115,None,0.0
20,2699,None,1.0
20,2711,None,20.0
21,182,None,3386.0
21,277,None,1.0
21,790,None,60378.0
21,1980,None,0.5
21,2115,None,0.0
21,2699,None,1.0
21,2711,None,21.0
22,182,None,3386.0
22,277,None,1.0
22,790,None,60380.0
22,1980,None,0.425
22,1981,None,600.0
22,2115,None,0.0
22,2699,None,1.0
22,2711,None,22.0
23,9,None,500.0
23,525,None,1.0
23,552,None,5000.0
25,9,None,10.0
25,552,None,50.0
44,1640,None,7200.0
44,1641,None,7200.0
50,37,None,3750.0
50,70,None,1000.0
50,108,None,35.0
50,114,None,0.0
50,116,None,240.0
50,117,None,0.0
50,118,None,0.0
50,137,None,506.0
50,144,None,1.125
50,182,None,3326.0
50,183,None,3319.0
50,277,None,4.0
50,278,None,1.0
50,281,None,20000.0
50,525,None,1.0
50,653,None,1000.0
50,654,None,150.0
50,655,None,1500.0
54,9,None,100000000.0
54,524,None,1.0
56,9,None,100000000.0
56,524,None,1.0
57,9,None,100000000.0
57,524,None,1.0
58,524,None,1.0
59,524,None,1.0
164,419,None,900000.0
165,419,None,1380000.0
166,419,None,2050000.0
178,114,None,0.0
178,116,None,1.0
178,117,None,4.0
178,118,None,0.0
178,120,None,1.6
178,124,None,4082280.0
178,128,None,1.0
178,137,None,55.0
178,244,None,1.05
178,422,None,1.0
178,779,None,1.6
179,114,None,0.0
179,116,None,4.0
179,117,None,1.0
179,118,None,0.0
179,120,None,1.6
179,124,None,4084070.0
179,128,None,1.0
179,137,None,55.0
179,244,None,1.05
179,422,None,1.0
179,779,None,1.4
180,114,None,3.0
180,116,None,0.0
180,117,None,2.0
180,118,None,0.0
180,120,None,1.6
180,124,None,2772300.0
180,128,None,1.0
180,137,None,55.0
180,244,None,1.05
180,422,None,1.0
180,779,None,1.2
181,114,None,0.0
181,116,None,3.0
181,117,None,2.0
181,118,None,3.0
181,120,None,1.0
181,124,None,3957850.0
181,128,None,1.0
181,137,None,55.0
181,244,None,1.2
181,422,None,1.0
181,779,None,1.0
182,114,None,0.0
182,116,None,2.0
182,117,None,6.0
182,118,None,0.0
182,120,None,1.0
182,124,None,6380350.0
182,128,None,1.0
182,137,None,55.0
182,244,None,1.2
182,422,None,1.0
182,779,None,0.875
183,114,None,0.0
183,116,None,10.0
183,117,None,2.0
183,118,None,0.0
183,120,None,0.5
183,124,None,12021100.0
183,128,None,1.0
183,137,None,55.0
183,244,None,1.0
183,422,None,1.0
183,779,None,0.75
184,114,None,0.0
184,116,None,0.0
184,117,None,2.0
184,118,None,10.0
184,120,None,0.5
184,124,None,3304020.0
184,128,None,1.0
184,137,None,55.0
184,244,None,1.0
184,422,None,1.0
184,779,None,0.625
185,114,None,9.0
185,116,None,2.0
185,117,None,1.0
185,118,None,0.0
185,120,None,0.5
185,124,None,16763500.0
185,128,None,1.0
185,137,None,55.0
185,244,None,1.0
185,422,None,1.0
185,779,None,0.5
186,114,None,0.0
186,116,None,2.0
186,117,None,8.0
186,118,None,0.0
186,120,None,1.6
186,124,None,4082280.0
186,128,None,2.0
186,137,None,55.0
186,244,None,1.05
186,422,None,1.0
186,779,None,1.6
187,114,None,0.0
187,116,None,8.0
187,117,None,2.0
187,118,None,0.0
187,120,None,1.6
187,124,None,4084070.0
187,128,None,2.0
187,137,None,55.0
187,244,None,1.05
187,422,None,1.0
187,779,None,1.4
188,114,None,6.0
188,116,None,0.0
188,117,None,4.0
188,118,None,0.0
188,120,None,1.6
188,124,None,2772300.0
188,128,None,2.0
188,137,None,55.0
188,244,None,1.05
188,422,None,1.0
188,779,None,1.2
189,114,None,0.0
189,116,None,6.0
189,117,None,4.0
189,118,None,6.0
189,120,None,1.0
189,124,None,4612440.0
189,128,None,2.0
189,137,None,55.0
189,244,None,1.2
189,422,None,1.0
189,779,None,1.0
190,114,None,0.0
190,116,None,4.0
190,117,None,12.0
190,118,None,0.0
190,120,None,1.0
190,124,None,6380350.0
190,128,None,2.0
190,137,None,55.0
190,244,None,1.2
190,422,None,1.0
190,779,None,0.875
191,114,None,0.0
191,116,None,20.0
191,117,None,4.0
191,118,None,0.0
191,120,None,0.5
191,124,None,12021100.0
191,128,None,2.0
191,137,None,55.0
191,244,None,1.0
191,422,None,1.0
191,779,None,0.75
192,114,None,0.0
192,116,None,0.0
192,117,None,4.0
192,118,None,20.0
192,120,None,0.5
192,124,None,3304020.0
192,128,None,2.0
192,137,None,55.0
192,244,None,1.0
192,422,None,1.0
192,779,None,0.625
193,114,None,18.0
193,116,None,4.0
193,117,None,2.0
193,118,None,0.0
193,120,None,0.5
193,124,None,16763500.0
193,128,None,2.0
193,137,None,55.0
193,244,None,1.0
193,422,None,1.0
193,779,None,0.5
194,114,None,0.0
194,116,None,4.0
194,117,None,16.0
194,118,None,0.0
194,120,None,1.6
194,124,None,4082280.0
194,128,None,3.0
194,137,None,55.0
194,244,None,1.05
194,422,None,1.0
194,779,None,1.6
195,114,None,0.0
195,116,None,16.0
195,117,None,4.0
195,118,None,0.0
195,120,None,1.6
195,124,None,4084070.0
195,128,None,3.0
195,137,None,55.0
195,244,None,1.05
195,422,None,1.0
195,779,None,1.4
196,114,None,12.0
196,116,None,0.0
196,117,None,8.0
196,118,None,0.0
196,120,None,1.6
196,124,None,4086630.0
196,128,None,3.0
196,137,None,55.0
196,244,None,1.05
196,422,None,1.0
196,779,None,1.2
197,114,None,0.0
197,116,None,12.0
197,117,None,8.0
197,118,None,12.0
197,120,None,1.0
197,124,None,4612440.0
197,128,None,3.0
197,137,None,55.0
197,244,None,1.2
197,422,None,1.0
197,779,None,1.0
198,114,None,0.0
198,116,None,8.0
198,117,None,24.0
198,118,None,0.0
198,120,None,1.0
198,124,None,6380350.0
198,128,None,3.0
198,137,None,55.0
198,244,None,1.2
198,422,None,1.0
198,779,None,0.875
199,114,None,0.0
199,116,None,40.0
199,117,None,8.0
199,118,None,0.0
199,120,None,0.5
199,124,None,12021100.0
199,128,None,3.0
199,137,None,55.0
199,244,None,1.0
199,422,None,1.0
199,779,None,0.75
200,114,None,0.0
200,116,None,0.0
200,117,None,8.0
200,118,None,40.0
200,120,None,0.5
200,124,None,3304020.0
200,128,None,3.0
200,137,None,55.0
200,244,None,1.0
200,422,None,1.0
200,779,None,0.625
201,114,None,36.0
201,116,None,8.0
201,117,None,4.0
201,118,None,0.0
201,120,None,0.5
201,124,None,16763500.0
201,128,None,3.0
201,137,None,55.0
201,244,None,1.0
201,422,None,1.0
201,779,None,0.5
202,9,None,240.0
202,37,None,4700.0
202,70,None,0.000144498
202,108,None,35.0
202,109,None,1.0
202,110,None,1.0
202,111,None,1.0
202,113,None,0.8
202,114,None,375.0
202,116,None,0.0
202,117,None,0.0
202,118,None,0.0
202,137,None,506.0
202,182,None,3326.0
202,183,None,3319.0
202,277,None,1.0
202,278,None,1.0
202,281,None,14000.0
202,422,None,1.0
202,525,None,1.0
202,633,None,0.0
202,644,None,1.0
202,653,None,69.0
202,654,None,330.0
202,655,None,1500.0
202,1353,None,0.882
203,9,None,240.0
203,37,None,4700.0
203,70,None,0.000144498
203,108,None,35.0
203,109,None,0.8
203,110,None,1.0
203,111,None,1.0
203,113,None,1.0
203,114,None,0.0
203,116,None,0.0
203,117,None,375.0
203,118,None,0.0
203,137,None,506.0
203,182,None,3326.0
203,183,None,3319.0
203,277,None,1.0
203,278,None,1.0
203,281,None,14000.0
203,422,None,1.0
203,525,None,1.0
203,633,None,0.0
203,644,None,1.0
203,653,None,69.0
203,654,None,330.0
203,655,None,1500.0
203,1353,None,0.882
204,9,None,240.0
204,37,None,4700.0
204,70,None,0.000144498
204,108,None,35.0
204,109,None,1.0
204,110,None,0.8
204,111,None,1.0
204,113,None,1.0
204,114,None,0.0
204,116,None,0.0
204,117,None,0.0
204,118,None,375.0
204,137,None,506.0
204,182,None,3326.0
204,183,None,3319.0
204,277,None,1.0
204,278,None,1.0
204,281,None,14000.0
204,422,None,1.0
204,525,None,1.0
204,633,None,0.0
204,644,None,1.0
204,653,None,69.0
204,654,None,330.0
204,655,None,1500.0
204,1353,None,0.882
205,9,None,240.0
205,37,None,4700.0
205,70,None,0.000144498
205,108,None,35.0
205,109,None,1.0
205,110,None,1.0
205,111,None,0.8
205,113,None,1.0
205,114,None,0.0
205,116,None,375.0
205,117,None,0.0
205,118,None,0.0
205,137,None,506.0
205,182,None,3326.0
205,183,None,3319.0
205,277,None,1.0
205,278,None,1.0
205,281,None,14000.0
205,422,None,1.0
205,525,None,1.0
205,633,None,0.0
205,644,None,1.0
205,653,None,69.0
205,654,None,330.0
205,655,None,1500.0
205,1353,None,0.882
206,9,None,120.0
206,37,None,4300.0
206,70,None,0.000144498
206,108,None,35.0
206,109,None,1.0
206,110,None,1.0
206,111,None,0.8
206,113,None,1.0
206,114,None,0.0
206,116,None,149.0
206,117,None,0.0
206,118,None,0.0
206,137,None,510.0
206,182,None,3324.0
206,183,None,3319.0
206,277,None,1.0
206,278,None,1.0
206,281,None,6500.0
206,422,None,1.0
206,525,None,1.0
206,633,None,0.0
206,644,None,1.0
206,653,None,85.0
206,654,None,140.0
206,655,None,1500.0
206,1353,None,0.682
207,9,None,120.0
207,37,None,4300.0
207,70,None,0.000144498
207,108,None,35.0
207,109,None,1.0
207,110,None,1.0
207,111,None,1.0
207,113,None,0.8
207,114,None,149.0
207,116,None,0.0
207,117,None,0.0
207,118,None,0.0
207,137,None,510.0
207,182,None,3324.0
207,183,None,3319.0
207,277,None,1.0
207,278,None,1.0
207,281,None,6500.0
207,422,None,1.0
207,525,None,1.0
207,633,None,0.0
207,644,None,1.0
207,653,None,85.0
207,654,None,140.0
207,655,None,1500.0
207,1353,None,0.682
208,9,None,120.0
208,37,None,4300.0
208,70,None,0.000144498
208,108,None,35.0
208,109,None,1.0
208,110,None,0.8
208,111,None,1.0
208,113,None,1.0
208,114,None,0.0
208,116,None,0.0
208,117,None,0.0
208,118,None,149.0
208,137,None,510.0
208,182,None,3324.0
208,183,None,3319.0
208,277,None,1.0
208,278,None,1.0
208,281,None,6500.0
208,422,None,1.0
208,525,None,1.0
208,633,None,0.0
208,644,None,1.0
208,653,None,85.0
208,654,None,140.0
208,655,None,1500.0
208,1353,None,0.682
209,9,None,120.0
209,37,None,4300.0
209,70,None,0.000144498
209,108,None,35.0
209,109,None,0.8
209,110,None,1.0
209,111,None,1.0
209,113,None,1.0
209,114,None,0.0
209,116,None,0.0
209,117,None,149.0
209,118,None,0.0
209,137,None,510.0
209,182,None,3324.0
209,183,None,3319.0
209,277,None,1.0
209,278,None,1.0
209,281,None,6500.0
209,422,None,1.0
209,525,None,1.0
209,633,None,0.0
209,644,None,1.0
209,653,None,85.0
209,654,None,140.0
209,655,None,1500.0
209,1353,None,0.682
210,9,None,60.0
210,37,None,3750.0
210,70,None,0.000144498
210,108,None,35.0
210,109,None,0.8
210,110,None,1.0
210,111,None,1.0
210,113,None,1.0
210,114,None,0.0
210,116,None,0.0
210,117,None,83.0
210,118,None,0.0
210,137,None,509.0
210,182,None,3321.0
210,183,None,3319.0
210,277,None,1.0
210,278,None,1.0
210,281,None,5000.0
210,422,None,1.0
210,525,None,1.0
210,633,None,0.0
210,644,None,1.0
210,653,None,170.0
210,654,None,40.0
210,655,None,1500.0
210,1353,None,0.604
211,9,None,60.0
211,37,None,3750.0
211,70,None,0.000144498
211,108,None,35.0
211,109,None,1.0
211,110,None,0.8
211,111,None,1.0
211,113,None,1.0
211,114,None,0.0
211,116,None,0.0
211,117,None,0.0
211,118,None,83.0
